name,description,price,stock,category_id
Cabinet,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",48022,13,4
Coffee Table,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",44872,7,1
Wood Lamp,Nulla tellus. In sagittis dui vel nisl.,23384,22,5
Bench,Morbi non quam nec dui luctus rutrum.,39694,50,4
Drawer,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",46322,4,4
Wall Decor,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",14552,7,4
Wood Chair,Aenean fermentum.,40935,12,5
Dining Table,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",9956,34,5
Wood Shelf,Nulla ut erat id mauris vulputate elementum.,38403,38,1
Bed Frame,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",30996,25,5
Cabinet,Curabitur convallis.,9145,11,2
Coffee Table,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",27395,15,5
Wood Lamp,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",42591,33,2
Bench,Integer a nibh.,5037,15,1
Drawer,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",6755,34,5
Wall Decor,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,13025,21,3
Wood Chair,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",47950,8,5
Dining Table,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",30138,9,4
Wood Shelf,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",38199,3,4
Bed Frame,Integer ac leo.,44664,37,4
Cabinet,Nulla nisl. Nunc nisl.,22330,21,5
Coffee Table,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,23864,11,3
Wood Lamp,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",13327,5,3
Bench,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",33226,40,3
Drawer,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",18027,41,5
Wall Decor,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,4526,33,5
Wood Chair,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",49003,42,1
Dining Table,In hac habitasse platea dictumst.,28226,34,3
Wood Shelf,Donec ut dolor.,13964,40,1
Bed Frame,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",40683,34,3
Cabinet,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",45191,20,1
Coffee Table,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",29199,18,5
Wood Lamp,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",18453,43,4
Bench,Nulla ac enim.,15717,36,2
Drawer,Nunc rhoncus dui vel sem. Sed sagittis.,48621,40,5
Wall Decor,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,26399,44,5
Wood Chair,Donec ut dolor.,290,20,5
Dining Table,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,14376,19,5
Wood Shelf,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,13578,28,3
Bed Frame,Etiam vel augue. Vestibulum rutrum rutrum neque.,48952,27,4
Cabinet,Aenean sit amet justo.,3453,21,3
Coffee Table,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",18579,4,2
Wood Lamp,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",18963,37,3
Bench,Nulla mollis molestie lorem. Quisque ut erat.,27292,21,1
Drawer,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,13766,19,2
Wall Decor,Nunc purus.,29874,44,5
Wood Chair,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",15257,32,5
Dining Table,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",26104,5,3
Wood Shelf,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",25189,21,3
Bed Frame,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",28999,49,1
Cabinet,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,44476,20,3
Coffee Table,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,34412,37,4
Wood Lamp,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",33364,11,2
Bench,Suspendisse potenti.,23950,2,4
Drawer,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",39360,33,4
Wall Decor,Vivamus tortor.,15590,11,5
Wood Chair,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,10847,41,1
Dining Table,Fusce consequat.,30398,4,2
Wood Shelf,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1284,19,5
Bed Frame,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,33150,45,5
Cabinet,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",44543,33,2
Coffee Table,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",14324,32,4
Wood Lamp,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,3514,1,1
Bench,Phasellus sit amet erat. Nulla tempus.,8975,15,2
Drawer,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",27866,39,5
Wall Decor,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",25634,15,3
Wood Chair,Integer a nibh. In quis justo.,38150,9,3
Dining Table,Nulla tellus. In sagittis dui vel nisl.,5617,25,5
Wood Shelf,Mauris lacinia sapien quis libero.,25197,46,2
Bed Frame,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",3202,40,3
Cabinet,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",10526,34,4
Coffee Table,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",24023,23,1
Wood Lamp,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",1738,3,3
Bench,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",47094,31,5
Drawer,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,3966,30,2
Wall Decor,Phasellus in felis.,11960,17,4
Wood Chair,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,2074,40,2
Dining Table,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",8932,32,4
Wood Shelf,Aliquam erat volutpat.,7428,16,5
Bed Frame,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,20925,16,4
Cabinet,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",14408,28,2
Coffee Table,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",39370,17,5
Wood Lamp,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,25159,35,2
Bench,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,12694,12,4
Drawer,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",34730,29,3
Wall Decor,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",22806,34,5
Wood Chair,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,25359,28,1
Dining Table,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",7796,44,2
Wood Shelf,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,34017,27,2
Bed Frame,Maecenas tincidunt lacus at velit.,11784,24,3
Cabinet,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",40910,15,4
Coffee Table,Nulla ac enim.,40763,21,2
Wood Lamp,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,13908,1,1
Bench,Sed ante. Vivamus tortor. Duis mattis egestas metus.,29801,41,1
Drawer,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",47029,41,2
Wall Decor,Morbi non quam nec dui luctus rutrum.,29893,30,5
Wood Chair,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,3002,37,1
Dining Table,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",20001,26,1
Wood Shelf,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",38483,7,4
Bed Frame,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,37898,49,5
Cabinet,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1595,33,1
Coffee Table,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",33508,11,5
Wood Lamp,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",1321,33,1
Bench,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,12692,15,4
Drawer,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",5215,19,4
Wall Decor,Sed accumsan felis. Ut at dolor quis odio consequat varius.,43625,25,3
Wood Chair,Morbi ut odio.,41513,42,3
Dining Table,Nulla nisl. Nunc nisl.,9321,27,2
Wood Shelf,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,5316,39,3
Bed Frame,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",9389,41,4
Cabinet,Sed accumsan felis.,3829,44,2
Coffee Table,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,45297,24,5
Wood Lamp,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",11033,29,1
Bench,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",22744,3,1
Drawer,Aenean sit amet justo. Morbi ut odio.,40287,29,1
Wall Decor,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",651,18,3
Wood Chair,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",12419,18,1
Dining Table,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",39147,46,2
Wood Shelf,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,33093,15,1
Bed Frame,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",47477,35,5
Cabinet,Vivamus vestibulum sagittis sapien.,20603,2,5
Coffee Table,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",7334,37,4
Wood Lamp,Morbi quis tortor id nulla ultrices aliquet.,17950,1,5
Bench,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1924,24,1
Drawer,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,24023,26,3
Wall Decor,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",46260,29,2
Wood Chair,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,47864,35,2
Dining Table,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,16564,11,3
Wood Shelf,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",45348,33,1
Bed Frame,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",34534,26,4
Cabinet,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",8740,28,4
Coffee Table,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2687,13,2
Wood Lamp,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",28370,31,2
Bench,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",46217,49,3
Drawer,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,35624,37,3
Wall Decor,In hac habitasse platea dictumst.,28415,43,5
Wood Chair,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",32590,8,2
Dining Table,Phasellus id sapien in sapien iaculis congue.,27946,10,5
Wood Shelf,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",37647,25,4
Bed Frame,Vivamus tortor. Duis mattis egestas metus.,39984,35,4
Cabinet,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",19620,1,5
Coffee Table,Integer ac leo.,9461,27,2
Wood Lamp,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,47239,7,4
Bench,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,11010,35,3
Drawer,Cras non velit nec nisi vulputate nonummy.,11369,23,4
Wall Decor,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",20121,29,3
Wood Chair,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,38950,47,3
Dining Table,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,26551,29,1
Wood Shelf,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",20079,44,2
Bed Frame,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,17841,43,4
Cabinet,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,11999,10,4
Coffee Table,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",24455,13,5
Wood Lamp,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",26698,18,3
Bench,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",39305,36,5
Drawer,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",37183,6,4
Wall Decor,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,22937,11,2
Wood Chair,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",4815,6,5
Dining Table,In hac habitasse platea dictumst.,11743,36,5
Wood Shelf,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",5558,27,4
Bed Frame,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,25967,23,2
Cabinet,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",18074,32,3
Coffee Table,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",13071,25,3
Wood Lamp,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,28977,45,4
Bench,In hac habitasse platea dictumst.,35449,49,2
Drawer,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",35125,21,4
Wall Decor,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",46241,45,3
Wood Chair,Praesent blandit. Nam nulla.,31957,16,5
Dining Table,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",16491,10,1
Wood Shelf,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",44310,35,3
Bed Frame,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",49170,23,2
Cabinet,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",46018,9,2
Coffee Table,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,35140,41,1
Wood Lamp,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,13218,9,1
Bench,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",34777,17,1
Drawer,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",28962,21,3
Wall Decor,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",28870,27,3
Wood Chair,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",12862,13,5
Dining Table,Praesent id massa id nisl venenatis lacinia.,29033,29,3
Wood Shelf,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,37398,42,4
Bed Frame,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",227,6,2
Cabinet,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,40995,13,5
