order_id,amount,payment_method
29740,4299,Cash on Delivery
19502,42770,Credit Card
2134,770,GCash
13998,30726,Cash on Delivery
24242,35599,GCash
12288,8238,GCash
19660,40657,Cash on Delivery
14562,21763,GCash
2241,6606,Cash on Delivery
23677,14079,GCash
5122,34601,Credit Card
3770,24379,GCash
5309,48783,Cash on Delivery
6984,9376,Credit Card
5623,23982,Credit Card
24128,25455,Cash on Delivery
1934,3816,Cash on Delivery
9322,929,GCash
4921,38822,Credit Card
17186,6903,GCash
11171,47119,GCash
442,31905,Cash on Delivery
9496,17741,Credit Card
20607,46577,Credit Card
22749,8049,GCash
15400,39124,Cash on Delivery
21134,34769,Cash on Delivery
12115,47433,GCash
7555,49339,Cash on Delivery
17453,44738,GCash
15981,32335,Credit Card
26364,2195,GCash
15833,33708,Credit Card
27220,12394,Cash on Delivery
5287,10004,GCash
17163,28154,Credit Card
18565,23913,Credit Card
6350,11442,Cash on Delivery
20421,45467,GCash
17740,16528,GCash
26768,40513,Cash on Delivery
28780,6184,Credit Card
14301,35330,GCash
13077,36494,Cash on Delivery
25678,40300,Credit Card
7860,25358,Credit Card
18031,46307,GCash
23366,41737,Cash on Delivery
8182,26822,Credit Card
27293,19689,Credit Card
6682,6718,Credit Card
6018,6204,Cash on Delivery
23248,19079,Credit Card
24952,6657,Credit Card
11215,12994,Cash on Delivery
5464,20641,Cash on Delivery
26110,36634,Credit Card
7526,13274,GCash
24807,45161,GCash
9497,33763,GCash
131,31289,Cash on Delivery
5702,42100,GCash
5240,1350,Cash on Delivery
19248,39207,Credit Card
3810,21005,Cash on Delivery
21478,29765,Credit Card
7474,33097,Credit Card
22347,5354,Credit Card
6239,8853,GCash
4922,49511,Credit Card
763,44070,Credit Card
15960,26174,Credit Card
14494,38358,Credit Card
24766,44647,Cash on Delivery
4197,16754,GCash
15449,36349,GCash
12330,3231,Credit Card
27692,23618,GCash
18141,3238,GCash
10890,38103,GCash
10413,12494,Cash on Delivery
26208,2113,Credit Card
8835,26226,Cash on Delivery
21424,27626,Cash on Delivery
29633,17534,GCash
517,22490,GCash
26861,31187,Cash on Delivery
15656,27931,Credit Card
26743,34838,GCash
519,40435,Cash on Delivery
11721,41271,Cash on Delivery
26348,27504,Cash on Delivery
17675,43049,GCash
29114,27394,Credit Card
28293,42245,GCash
15081,28171,Credit Card
4078,46219,Credit Card
16912,43191,Credit Card
28829,5191,GCash
16946,33619,Credit Card
14590,32202,GCash
19386,34740,Cash on Delivery
11225,347,Credit Card
1495,10460,GCash
29201,33338,Credit Card
2233,19268,GCash
13548,23886,GCash
12258,33447,Credit Card
1565,22278,Credit Card
23973,4322,Credit Card
20858,21344,Credit Card
190,47443,Cash on Delivery
15111,35473,Cash on Delivery
13043,41369,Cash on Delivery
8708,23488,Cash on Delivery
16797,49708,Cash on Delivery
24229,3785,Credit Card
17496,24914,GCash
20561,39799,Credit Card
12201,37082,Credit Card
15194,36524,Cash on Delivery
1536,35571,GCash
485,5333,Cash on Delivery
555,41240,GCash
19622,24490,Cash on Delivery
29317,43962,Cash on Delivery
16294,2976,GCash
8509,9874,GCash
27940,32963,Credit Card
20916,22978,GCash
17925,41849,Cash on Delivery
16267,6396,Cash on Delivery
4804,9613,GCash
4549,44356,Cash on Delivery
5383,34110,Cash on Delivery
7982,23082,GCash
13683,49619,GCash
27710,13665,GCash
6195,12064,Credit Card
20326,12111,Credit Card
25727,36770,GCash
6309,48165,GCash
5696,24076,Credit Card
22926,31458,Cash on Delivery
12841,12277,GCash
23939,42871,Cash on Delivery
27687,36204,Credit Card
25354,25445,Cash on Delivery
4717,28366,GCash
13420,23736,Cash on Delivery
12032,24616,Credit Card
16830,32532,Credit Card
26625,33425,GCash
5998,43429,GCash
14580,11276,Credit Card
3641,30505,Credit Card
27964,1488,Cash on Delivery
21484,43949,GCash
15404,45969,GCash
1926,43079,Credit Card
20958,41168,Credit Card
24885,17374,Credit Card
2950,34469,Cash on Delivery
14699,34128,Cash on Delivery
9116,24799,Cash on Delivery
23317,13935,GCash
10050,14023,Credit Card
2148,17593,GCash
13304,45945,Credit Card
19880,13074,Cash on Delivery
23019,33849,Cash on Delivery
24748,16760,GCash
16064,25637,Credit Card
8997,28198,Cash on Delivery
11933,40025,GCash
20047,3509,Cash on Delivery
16862,49451,Credit Card
21062,3074,GCash
28065,2398,GCash
1937,2593,Cash on Delivery
8047,160,GCash
17790,31370,Credit Card
8336,49547,Credit Card
22615,45880,GCash
4054,49624,Cash on Delivery
22099,37576,Cash on Delivery
8458,29001,Credit Card
9563,9372,Cash on Delivery
7023,21470,Credit Card
1673,29807,GCash
12359,49525,Credit Card
28665,3783,GCash
29663,7946,GCash
20678,5134,Cash on Delivery
27963,25981,GCash
22085,24534,Cash on Delivery
24672,49332,Credit Card
20136,10691,GCash
21861,3611,Cash on Delivery
8387,31675,Cash on Delivery
2397,1976,Cash on Delivery
5240,40796,Credit Card
10827,8303,Credit Card
10171,33899,Cash on Delivery
7860,28860,Cash on Delivery
27811,15282,GCash
3420,7794,Credit Card
12158,14794,Cash on Delivery
12281,29238,Credit Card
17225,5239,Cash on Delivery
20493,7949,Cash on Delivery
14860,23635,Cash on Delivery
19037,33555,GCash
13187,29755,GCash
13823,35273,GCash
2905,47906,Cash on Delivery
23613,44139,Credit Card
13813,2913,GCash
23730,13512,Cash on Delivery
2473,28517,Credit Card
29294,3347,Cash on Delivery
25868,20588,Credit Card
6081,43851,Credit Card
3864,33007,GCash
28763,13751,Credit Card
661,24029,GCash
10714,17305,Credit Card
5855,49411,Cash on Delivery
4247,20098,GCash
6585,3834,GCash
25944,14779,Cash on Delivery
20027,10186,Cash on Delivery
8089,46609,Cash on Delivery
27972,14084,Credit Card
17202,5849,Cash on Delivery
21208,12750,Credit Card
27528,41380,Credit Card
27975,773,GCash
11575,49939,Cash on Delivery
1972,45135,Cash on Delivery
18720,11097,Cash on Delivery
21850,20360,Cash on Delivery
29636,37823,Cash on Delivery
12822,38099,Cash on Delivery
27035,1223,GCash
29490,2158,GCash
23540,5318,GCash
11053,14245,Cash on Delivery
4924,19874,GCash
7007,28863,GCash
6198,37200,GCash
7857,36075,GCash
17684,13258,Cash on Delivery
16616,44079,GCash
14791,48953,Cash on Delivery
4520,30545,Cash on Delivery
15870,23546,GCash
13177,6482,Cash on Delivery
6304,17274,Cash on Delivery
8399,6035,Credit Card
29399,17965,Cash on Delivery
13188,42321,Cash on Delivery
19978,45689,Cash on Delivery
24918,15788,Cash on Delivery
5703,7959,Cash on Delivery
29909,7850,GCash
17090,47060,Cash on Delivery
8783,40110,Cash on Delivery
21435,25232,Credit Card
23608,8558,GCash
10485,47232,Credit Card
13867,44470,GCash
11037,16595,Credit Card
5027,28847,Cash on Delivery
25602,23692,Credit Card
29669,36324,GCash
16817,18215,Credit Card
16098,43156,Credit Card
19337,46769,GCash
15637,38363,GCash
23209,8403,Cash on Delivery
3920,28271,GCash
20800,19563,Cash on Delivery
620,13751,Cash on Delivery
8266,29472,GCash
6550,39910,Cash on Delivery
13815,4126,Credit Card
17150,16053,Credit Card
3592,35857,Credit Card
4831,4193,Cash on Delivery
25777,44298,Cash on Delivery
18921,12631,Cash on Delivery
21715,28636,GCash
13169,29180,GCash
18257,9997,Credit Card
19058,23202,Cash on Delivery
7524,30556,Cash on Delivery
7814,11540,Cash on Delivery
20166,48877,Cash on Delivery
27969,15068,Credit Card
10361,24378,GCash
18980,31544,Cash on Delivery
15956,19149,Cash on Delivery
6657,10352,GCash
14659,2766,Cash on Delivery
23833,28407,Cash on Delivery
8662,44339,Cash on Delivery
18183,36513,GCash
6825,29051,Credit Card
7281,15619,Credit Card
8997,28772,GCash
29950,49011,GCash
21194,40106,GCash
11826,5701,Cash on Delivery
16272,17266,Credit Card
25394,38899,GCash
26869,25463,Cash on Delivery
17480,40576,Cash on Delivery
2468,26038,Cash on Delivery
14434,33066,GCash
9754,33461,Credit Card
547,33166,Cash on Delivery
16100,3096,Cash on Delivery
15595,42371,Cash on Delivery
27755,44225,GCash
9257,42906,GCash
19781,39152,Cash on Delivery
20926,33510,GCash
7560,26337,Cash on Delivery
24135,37235,Credit Card
9771,3363,Cash on Delivery
24776,39907,Cash on Delivery
6637,42280,Credit Card
3072,14169,Cash on Delivery
2533,29326,GCash
16638,46360,GCash
29129,14794,Credit Card
10444,44122,GCash
21760,5253,Cash on Delivery
22111,603,Cash on Delivery
9836,25129,Credit Card
10091,7900,Cash on Delivery
22306,18773,GCash
29359,11380,GCash
21990,4133,Cash on Delivery
10765,30236,Cash on Delivery
9757,33157,Cash on Delivery
13279,17569,GCash
3257,112,GCash
9315,25343,Credit Card
20697,4211,Cash on Delivery
7927,46676,Credit Card
5786,19905,Credit Card
7386,2686,Cash on Delivery
15291,28656,Credit Card
3048,31775,Credit Card
5119,48259,GCash
9532,33739,Cash on Delivery
15214,22874,GCash
28663,45927,GCash
5101,8228,Cash on Delivery
9345,16110,Cash on Delivery
27345,42418,GCash
29650,49927,Credit Card
9605,42914,Cash on Delivery
198,8738,Cash on Delivery
28710,40547,Credit Card
2058,29657,GCash
9054,26630,Cash on Delivery
6457,11916,GCash
1422,32257,Credit Card
8764,37791,GCash
5356,35244,Credit Card
21425,3484,GCash
136,39854,Cash on Delivery
23482,49535,Credit Card
5675,18466,Cash on Delivery
10390,20188,GCash
15583,34946,Credit Card
22002,3713,GCash
14377,19260,Credit Card
18348,24978,Credit Card
18793,45050,GCash
21505,35242,Credit Card
7399,15126,GCash
8033,7655,GCash
22858,43820,Cash on Delivery
13945,24424,Credit Card
14117,30038,Credit Card
24993,39643,Cash on Delivery
29675,10626,Credit Card
18200,6952,Credit Card
29753,40480,GCash
14168,5610,Cash on Delivery
2468,15948,Credit Card
10778,3411,GCash
5668,29847,Credit Card
19271,19028,Cash on Delivery
10213,15140,Credit Card
20295,9555,Credit Card
24306,48054,Cash on Delivery
17763,2012,GCash
8424,11571,GCash
14611,32765,GCash
25365,44919,GCash
17305,17915,Credit Card
7896,41688,Credit Card
2538,23769,Credit Card
9135,23017,Credit Card
8456,29767,Credit Card
2277,15024,Credit Card
24598,10005,Credit Card
2497,36569,Cash on Delivery
19035,10501,Cash on Delivery
81,28881,Cash on Delivery
9750,6470,Cash on Delivery
288,5878,Cash on Delivery
6379,41217,Credit Card
29066,33907,Cash on Delivery
8758,31918,Credit Card
22653,607,Credit Card
17121,12911,Credit Card
3149,22846,Credit Card
14740,1184,GCash
4694,39539,GCash
6695,2544,Cash on Delivery
21005,2186,Cash on Delivery
28507,41983,Cash on Delivery
27617,28019,GCash
20920,23203,Credit Card
25300,16949,Cash on Delivery
18694,3275,Credit Card
21862,5288,GCash
18334,11676,Cash on Delivery
29188,49345,Cash on Delivery
23780,38119,Cash on Delivery
29263,28991,GCash
16684,20981,GCash
19806,49484,GCash
25225,49665,Cash on Delivery
8348,30336,GCash
386,42297,Credit Card
7267,33135,Credit Card
23673,37973,Credit Card
23872,46462,Cash on Delivery
14381,15264,Credit Card
6162,35551,Credit Card
23870,32683,GCash
24427,37679,Cash on Delivery
22810,41939,Cash on Delivery
24366,14944,Cash on Delivery
25439,7398,GCash
6082,10473,Credit Card
18503,37514,Credit Card
8362,47336,Cash on Delivery
8554,34965,Cash on Delivery
6131,7734,Credit Card
2414,27734,Cash on Delivery
25209,35878,Cash on Delivery
10520,17842,GCash
11565,14006,Credit Card
19284,16320,Cash on Delivery
11509,9739,Credit Card
24111,10768,Cash on Delivery
1981,10324,Credit Card
10812,45936,Cash on Delivery
25756,10082,GCash
12442,26254,Cash on Delivery
26116,20743,GCash
20650,19101,GCash
8785,41277,Credit Card
17585,16631,Credit Card
21807,12760,Credit Card
27773,8281,Cash on Delivery
3024,27107,GCash
6049,27158,GCash
27682,22252,Credit Card
4253,24107,GCash
22854,39163,Credit Card
17711,26456,GCash
10980,33882,Cash on Delivery
16530,12722,GCash
22902,19067,Credit Card
11895,16118,GCash
20167,28537,GCash
22213,3005,Cash on Delivery
16026,46473,GCash
28413,17803,Cash on Delivery
19001,15344,GCash
28588,38078,Cash on Delivery
9452,13090,GCash
25132,44117,Cash on Delivery
27943,11641,Credit Card
19777,22777,GCash
28620,6551,Cash on Delivery
14020,1507,Credit Card
25353,32750,Cash on Delivery
17791,43809,Cash on Delivery
29224,45881,GCash
1129,27822,GCash
29281,319,Cash on Delivery
13412,31197,GCash
19757,27035,Credit Card
9370,36029,GCash
25910,24874,Credit Card
9609,18422,Credit Card
14151,41085,Credit Card
9639,9126,Cash on Delivery
4561,44706,Credit Card
2738,1806,GCash
15266,21648,GCash
29921,34153,Cash on Delivery
28615,220,Credit Card
4401,4667,Credit Card
28719,45178,Credit Card
25525,23443,GCash
10819,28527,Credit Card
11431,16181,Credit Card
4028,21446,GCash
3647,15952,Credit Card
29670,30077,Cash on Delivery
14430,22110,Credit Card
28344,3087,Cash on Delivery
1420,36710,Cash on Delivery
20996,6789,GCash
16788,8437,Cash on Delivery
24410,46989,GCash
29058,15797,Credit Card
15530,47634,Cash on Delivery
11367,29947,Credit Card
22803,47356,Cash on Delivery
2856,32354,Cash on Delivery
12084,22369,Cash on Delivery
1136,6785,Credit Card
27227,16362,GCash
14589,1741,GCash
19004,12108,GCash
7722,37846,GCash
842,46190,Cash on Delivery
19681,680,Cash on Delivery
16430,16339,Cash on Delivery
17434,30196,Cash on Delivery
22509,30739,Cash on Delivery
2650,31146,Credit Card
27831,6018,Credit Card
21218,3390,Credit Card
23870,23531,Credit Card
26253,6887,Cash on Delivery
13855,4933,GCash
18851,4425,Credit Card
20852,24488,Cash on Delivery
11897,17095,GCash
15384,46252,Credit Card
10915,40510,Credit Card
8052,43267,Cash on Delivery
21318,49704,GCash
18360,42184,Credit Card
5612,409,Credit Card
28440,24249,Credit Card
22798,14937,Credit Card
11260,41151,Cash on Delivery
6602,6654,GCash
4214,33848,GCash
1653,11320,Cash on Delivery
14514,12343,Cash on Delivery
25058,25031,GCash
25357,25943,Cash on Delivery
19769,20180,Credit Card
7863,23653,GCash
3590,4785,Credit Card
25821,28637,Cash on Delivery
15822,16973,Cash on Delivery
5777,10012,Credit Card
21809,7474,Cash on Delivery
14990,2218,GCash
25709,18539,Credit Card
13482,11732,GCash
26566,27833,GCash
18264,17303,Credit Card
26172,21799,GCash
15101,1297,Credit Card
25288,20276,GCash
8286,23166,Credit Card
13907,6758,Credit Card
6391,17654,Cash on Delivery
19655,14191,GCash
1789,15728,Cash on Delivery
20247,21823,Credit Card
14226,29384,GCash
6764,37783,Cash on Delivery
23264,45466,Cash on Delivery
11527,16357,Cash on Delivery
16212,41446,Cash on Delivery
2881,9241,Cash on Delivery
10358,15271,Credit Card
12370,20605,Cash on Delivery
24382,15490,GCash
9372,38797,GCash
15890,33963,Cash on Delivery
1136,26507,Credit Card
19043,153,GCash
25679,45428,GCash
19388,15455,Cash on Delivery
26965,35559,GCash
347,28724,Credit Card
20305,18516,Cash on Delivery
21301,10529,Credit Card
15401,43789,GCash
23596,41234,Credit Card
572,45352,GCash
16728,48682,Credit Card
26872,1208,Cash on Delivery
15419,4450,Cash on Delivery
22053,13336,GCash
28654,35951,GCash
952,16597,Cash on Delivery
12402,36291,GCash
8289,34379,Cash on Delivery
20627,34828,Cash on Delivery
3151,17108,Credit Card
192,40713,Cash on Delivery
16715,38940,Credit Card
8396,25948,Cash on Delivery
9246,31704,Credit Card
24754,39299,GCash
5243,31168,GCash
6249,43474,GCash
24163,27081,GCash
25685,3010,Cash on Delivery
12215,10840,Credit Card
26134,7282,Credit Card
8899,5163,Credit Card
5659,1476,Credit Card
24232,43728,Credit Card
11808,17920,GCash
20778,23734,GCash
15820,30878,Cash on Delivery
16569,5717,GCash
4646,15012,GCash
8783,23233,GCash
7043,24886,GCash
15466,9377,Credit Card
4937,25478,Cash on Delivery
23656,45865,Credit Card
10395,41441,GCash
17366,46160,Cash on Delivery
7929,12309,GCash
14110,1151,Cash on Delivery
6115,49465,GCash
29074,41120,GCash
9612,48809,Cash on Delivery
14128,19619,GCash
21272,40775,Cash on Delivery
29214,27627,GCash
18491,19565,Cash on Delivery
12892,30823,Credit Card
17434,35586,Credit Card
8030,20743,Credit Card
12692,11929,GCash
26801,14990,Credit Card
8811,3127,Credit Card
23599,37243,Credit Card
11314,39048,Credit Card
14596,21241,Cash on Delivery
24862,23303,Credit Card
14552,35252,GCash
8504,27526,GCash
17439,21535,Cash on Delivery
815,34896,GCash
953,4970,Cash on Delivery
338,44103,Credit Card
8489,17945,GCash
21000,29139,Credit Card
7498,20085,Credit Card
20457,25229,GCash
21642,38301,Cash on Delivery
20047,31269,GCash
13944,28215,Credit Card
14043,21690,GCash
29994,34519,Cash on Delivery
22023,17296,GCash
26090,5664,Credit Card
21703,10627,Cash on Delivery
19882,6769,Cash on Delivery
10832,3701,Credit Card
24785,46174,GCash
1347,33005,GCash
2762,3538,Credit Card
6225,49277,GCash
22877,37633,Cash on Delivery
20857,40166,Credit Card
9231,31882,Cash on Delivery
27115,23462,Cash on Delivery
17063,27936,Credit Card
5956,18961,Cash on Delivery
12627,8662,GCash
18889,21851,Credit Card
8592,27093,GCash
6065,21619,Credit Card
15756,17251,GCash
21072,3714,Cash on Delivery
19227,2144,Cash on Delivery
22551,27936,Cash on Delivery
7670,42492,Cash on Delivery
5636,48056,Cash on Delivery
27754,45907,Credit Card
1040,25143,GCash
4086,12398,Cash on Delivery
21016,27360,Cash on Delivery
25401,39573,GCash
26908,41672,Cash on Delivery
1797,19164,Credit Card
7736,41025,Credit Card
2351,20942,GCash
18791,744,Cash on Delivery
16009,24752,GCash
9513,35293,GCash
25429,21225,GCash
21034,11346,Credit Card
10145,2507,Cash on Delivery
18549,29970,Cash on Delivery
13381,24393,Credit Card
13848,46127,Credit Card
26554,37334,GCash
5428,29779,Credit Card
10319,9973,Cash on Delivery
9436,14797,Credit Card
2390,25863,Cash on Delivery
7530,7250,GCash
20372,4981,GCash
28717,33654,Credit Card
25576,30826,Credit Card
24255,16452,Cash on Delivery
9469,39790,GCash
2299,38862,Credit Card
22575,34438,GCash
11940,14451,Credit Card
19131,15756,Credit Card
21073,47595,Credit Card
5168,1079,Credit Card
13473,33691,GCash
28893,7507,Credit Card
8398,28076,Cash on Delivery
29043,39299,GCash
22232,10055,GCash
24289,45524,Cash on Delivery
15520,2863,Cash on Delivery
28184,13278,Cash on Delivery
12862,26183,GCash
3524,13073,GCash
1758,6426,Cash on Delivery
16310,18348,Credit Card
8740,12811,GCash
376,28439,GCash
15018,17696,GCash
14633,34941,Credit Card
13583,45283,Cash on Delivery
26010,13825,GCash
540,49186,Cash on Delivery
21911,18563,Cash on Delivery
28764,49795,GCash
554,655,Cash on Delivery
23025,44168,Credit Card
26450,9703,GCash
3913,7041,Cash on Delivery
23206,16202,Cash on Delivery
773,7214,Cash on Delivery
4052,46487,Cash on Delivery
29101,41591,GCash
4591,22804,Cash on Delivery
14156,38176,Credit Card
22463,44014,GCash
5690,4670,Credit Card
19526,16604,Cash on Delivery
22896,11330,Cash on Delivery
1284,29000,Credit Card
19536,17893,Cash on Delivery
11078,42388,Credit Card
27286,40617,GCash
24811,27092,GCash
29147,4531,GCash
7010,1563,GCash
29027,3658,GCash
29265,3288,Cash on Delivery
24937,42533,Credit Card
21935,28801,GCash
29965,21430,Credit Card
18732,11138,GCash
15313,17550,GCash
